Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
120,F,2,Dead,Socio-Economic Disease Roll,16,69.8,50,1,-0.9711890043291448,1.5202039285902593
54,M,0,Dead,Starvation / Exhaustion,4,22.89,0,3,-0.7690849487026812,2.7156861270785977
145,M,0,Dead,Socio-Economic Disease Roll,10,18.56,60,2,-0.5240220747007586,1.8875773996195209
24,M,2,Dead,Biological Limit (Old Age),29,251.03,37,3,-0.571043722919366,2.2266226988773408
87,F,0,Dead,Biological Limit (Old Age),21,142.52,10,3,-0.5869591850711265,1.6589133809081567
3,M,0,Dead,Socio-Economic Disease Roll,1,53.009528374861134,90,2,-0.9844659423656292,2.9260530372321094
16,F,0,Dead,Starvation / Exhaustion,4,58.21,0,3,-0.6629403951818822,2.7477769767277085
107,F,0,Dead,Starvation / Exhaustion,4,90.69,0,3,-0.5139440904393343,2.3473617674268192
66,F,1,Dead,Socio-Economic Disease Roll,4,22.36,70,2,-0.321297775036647,1.6523125971872619
38,F,1,Dead,Starvation / Exhaustion,4,34.36,0,2,-0.6422280493449048,1.771605605364118
48,F,0,Dead,Socio-Economic Disease Roll,24,141.85,14,3,-0.4241201969198539,2.0626930091924898
